longitude,latitude,light_intensity
72.6375001,0,0
72.64166677,0,0
72.64583343,0,0
72.6500001,0,0
72.65416677,0,0
72.65833343,0,0
72.6625001,0,0
72.66666677,0,0
72.67083343,0,0
72.6750001,0,0
72.67916677,0,0
72.68333343,0,0
72.6875001,0,0
72.69166677,0,0
72.69583343,0,0
72.7000001,0,0
72.70416677,0,0
72.70833344,0,0
72.7125001,0,0
72.71666677,0,0
72.72083344,0,0
72.7250001,0,0
72.72916677,0,0
72.73333344,0,0
72.7375001,0,0
72.74166677,0,0
72.74583344,0,0
72.7500001,0,0
72.75416677,0,0
72.75833344,0,0
72.7625001,0,0
72.76666677,0,0
72.77083344,0,0
72.7750001,0,0
72.77916677,0,0
72.78333344,0,0
72.7875001,0,0
72.79166677,0,0
72.79583344,0,0
72.8000001,0,0
72.80416677,0,0
72.80833344,0,0
72.8125001,0,0
72.81666677,0,0
72.82083344,0,0
72.8250001,0,0
72.82916677,0,0
72.83333344,0,0
72.8375001,0,0
72.84166677,0,0
72.84583344,0,0
72.8500001,0,0
72.85416677,0,0
72.85833344,0,0
72.8625001,0,0
72.86666677,0,0
72.87083344,0,0
72.8750001,0,0
72.87916677,0,0
72.88333344,0,0
72.8875001,0,0
72.89166677,0,0
72.89583344,0,0
72.9000001,0,0
72.90416677,0,0
72.90833344,0,0
72.9125001,0,0
72.91666677,0,0
72.92083344,0,0
72.9250001,0,0
72.92916677,0,0
72.93333344,0,0
72.9375001,0,0
72.94166677,0,0
72.94583344,0,0
72.9500001,0,0
72.95416677,0,0
72.95833344,0,0
72.9625001,0,0
72.96666677,0,0
72.97083344,0,0
72.9750001,0,0
72.97916677,0,0
72.98333344,0,0
72.9875001,0,0
72.99166677,0,0
72.99583344,0,0
73.0000001,0,0
73.00416677,0,0
73.00833344,0,0
73.0125001,0,0
73.01666677,0,0
73.02083344,0,0
73.0250001,0,0
73.02916677,0,0
73.03333344,0,0
73.0375001,0,0
73.04166677,0,0
73.04583344,0,0
73.0500001,0,0
73.05416677,0,0
73.05833344,0,0
73.0625001,0,0
73.06666677,0,0
73.07083344,0,0
73.0750001,0,0
73.07916677,0,0
73.08333344,0,0
73.0875001,0,0
73.09166677,0,0
73.09583344,0,0
73.1000001,0,0
73.10416677,0,0
73.10833344,0,0
73.1125001,0,0
73.11666677,0,0
73.12083344,0,0
73.12500011,0,0
73.12916677,0,0
73.13333344,0,0
73.13750011,0,0
73.14166677,0,0
73.14583344,0,0
73.15000011,0,0
73.15416677,0,0
73.15833344,0,0
73.16250011,0,0
73.16666677,0,0
73.17083344,0,0
73.17500011,0,0
73.17916677,0,0
73.18333344,0,0
73.18750011,0,0
73.19166677,0,0
73.19583344,0,0
73.20000011,0,0
73.20416677,0,0
73.20833344,0,0
73.21250011,0,0
73.21666677,0,0
73.22083344,0,0
73.22500011,0,0
73.22916677,0,0
73.23333344,0,0
73.23750011,0,0
73.24166677,0,0
73.24583344,0,0
73.25000011,0,0
73.25416677,0,0
73.25833344,0,0
73.26250011,0,0
73.26666677,0,0
73.27083344,0,0
73.27500011,0,0
73.27916677,0,0
73.28333344,0,0
73.28750011,0,0
73.29166677,0,0
73.29583344,0,0
73.30000011,0,0
73.30416677,0,0
73.30833344,0,0
73.31250011,0,0
73.31666677,0,0
73.32083344,0,0
73.32500011,0,0
73.32916677,0,0
73.33333344,0,0
73.33750011,0,0
73.34166677,0,0
73.34583344,0,0
